 Nom,Nom_bis,Département/Massif,X,Y,EPSG,Alt. ,Denivele,Developpement,Equipement,Temps,debutant,crue,balade,Traversée,Commentaire,url
ANTENNE (scialet de l'),Fait partie du réseau du Gouffre Berger,Vercors,0,0,WGS84,,-1273,31790,,,,,,,,
Burtetch (Gouffre de),,Haute-Garonne,0,0,,1510,245,3000,100m,4h,non,non,,oui,,
Rocaysou (Grotte de ),,Lozère,0,0,,,,1500,45m de tuyaux + neop,5h ,,oui,,,100 plus belles / autorisation/ pompage,
,,Belgique,0,0,,,,,,,,,,,,
Orcière (Grotte de l’),,Chartreuse,0,0,,,,,,,,,,,,
Riusec (Grotte de),,Haute-Garonne,0,0,,1310,245,3000,100m,4h,non,non,,oui,,
Mounégou (Gouffre),,Ariège,1.98565,42.72197,WGS84,1975,314,1039,,,,,,,,
Hydre (Aven de l’),,Aude,2.87082,42.92065,WGS84,626,-400,1000,,,,,,,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=25341
Volpellière (Aven de la),,Gard,3.89723,43.96007,WGS84,200,35,700,25m,1h30,oui,non,,oui,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=35187
Orage (grotte de l’),,Gard,4.33063,44.27369,WGS84,,37,900,,,,,,,,
Falconette,,Ain,5.55437,45.84283,WGS84,533,303,22000,,,,,,,,
Rama (Chourum de la),,Devoluy,5.81631,44.67942,WGS84,2272,980,6100,,,,,,,,
Lisse à combonne (trou),,Chartreuse,5.81752,45.39851,WGS84,1415,300,4200,,,,,,,,
Aiguille (Chourum),,Devoluy,5.82035,44.67647,WGS84,1995,980,6100,,,,,,,,
Christine (Aven),,Chartreuse,5.84286,45.46069,WGS84,1455,195,1016,,,,,,,,
Forcenés (baume des),,Devoluy,5.846554,44.70862,WGS84,,459,6500,,,,,,,,
Buissons (Combe des),,Devoluy,5.84817,44.69977,WGS84,1750,511,4375,,,,,,,,
Chaudron (chourum),,Devoluy,5.84819,44.70066,WGS84,1743,309,1310,,,,,,,,
Chevalier (Grotte),,Chartreuse,5.85554,45.30814,WGS84,,673,55000,oui,7,,,non,oui,100 plus belles,
Camargier (chourum),,Devoluy,5.85995,44.71615,WGS84,1555,147,550,,,,,,,,
Grand Ragne (golet du),,Chartreuse,5.91864,45.42522,WGS84,1625,111,130,,,,,,,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=37476}
Pare (grotte de la),,Devoluy,5.92236,44.624274,WGS84,,,,,,,,,,coordonnée incertaine,
Tune (Chourum),,Devoluy,5.93095,44.66728,WGS84,1550,101,500,,,,,,,,
Garde (trou du),,Bauges,5.98306,45.65194,WGS84,1362,298,45000,,,,,,,,
Cavale (Creux de la),,Bauges,5.98972,45.66444,WGS84,1380,298,45000,,,,,,,,
Malitou,,Bauges,6.01378,45.69436,WGS84,1102,167,4057,,,,,,,,
Litorne (Creux de la),,Bauges,6.06676,45.72805,WGS84,1000,870,53806,,,,,,,,
Grand Tetras (Creux du),,Bauges,6.07026,45.72486,WGS84,979,870,53806,,,,,,,,
Scarasson,,Alpes-Maritime,7.665668,44.17591,WGS84,,230,,,,,,,,coordonnée incertaine,
Karhalzeta,,Pyrénées-Atlantiques,333590.85,1795981.88,,545,106,300,,,,,,,,
Bouché de Lucucillo (Aven),,Pyrénées-Atlantiques,334078.18,1794700.38,,550,127,115,,,,,,,,
Lonne Peyret 5gouffre),,Pyrénées-Atlantiques,346644.6,1779804.59,,1635,807,24391,,,,,,,,
Las Escuras 2,,Pyrénées-Atlantiques,354934.59,1802243.37,,243,28,630,,,,,,,,
Sequette (Grotte de la),,Pyrénées-Atlantiques,357096.45,1780487.67,,650,24,150,,,,,,,,
Anglas (Grotte d’),,Pyrénées-Atlantiques,372677.44,1792257.04,,532,20,160,,,,,,,,
Sespiau (Grotte),,Pyrénées-Atlantiques,373749.36,1791704.43,,663,47,160,,,,,,,,
Capbis (grotte de),,,385569.19,1791546.85,,347,25,600,,,,,,,,
