#The data included in this document is from www.refuges.info. The data is made available under CC By-Sa 2.0
id_point;nom;type;altitude;latitude;longitude;état;nombre de place;lien
92;Refuge d'Hurtières;cabane non gardée;1546;45.32343;5.70685;;4;http://www.refuges.info/point/92/cabane-non-gardee/Chartreuse/Refuge-d-Hurtieres/
148;Habert de Bovinant;cabane non gardée;1660;45.3822;5.81263;;0;http://www.refuges.info/point/148/cabane-non-gardee/Chartreuse/Habert-de-Bovinant/
113;Cabane aux Ours;cabane non gardée;1010;45.23501;5.74579;;0;http://www.refuges.info/point/113/cabane-non-gardee/Chartreuse/Cabane-aux-Ours/
1659;Chalet de l'Outheran;cabane non gardée;1598;45.483;5.8573;;0;http://www.refuges.info/point/1659/cabane-non-gardee/Chartreuse/Chalet-de-l-Outheran/
88;Habert de Chamechaude;cabane non gardée;1570;45.27994;5.79258;;20;http://www.refuges.info/point/88/cabane-non-gardee/Chartreuse/Habert-de-Chamechaude/
97;Chalet de l'Alpe / Habert de Saint Vincent;cabane non gardée;1667;45.41463;5.91437;;0;http://www.refuges.info/point/97/cabane-non-gardee/Chartreuse/Chalet-de-l-Alpe-Habert-de-Saint-Vincent/
3414;Cabane des Bûcherons;cabane non gardée;1374;45.9476;6.2666;;1;http://www.refuges.info/point/3414/cabane-non-gardee/Bornes-Aravis/Cabane-des-Bucherons/
1526;Refuge de Pied Frais;cabane non gardée;740;45.23433;5.52628;;0;http://www.refuges.info/point/1526/cabane-non-gardee/Vercors/Refuge-de-Pied-Frais/
3248;Cabane Pastorale du Chourum Clot;cabane non gardée;1732;44.7025;5.85024;Fermée;0;http://www.refuges.info/point/3248/cabane-non-gardee/Devoluy-Trieves/Cabane-Pastorale-du-Chourum-Clot/
2731;Cabane pastorale du vallon des Aiguilles;cabane non gardée;1800;44.6713;5.82669;Fermée;0;http://www.refuges.info/point/2731/cabane-non-gardee/Devoluy-Trieves/Cabane-pastorale-du-vallon-des-Aiguilles/
1565;Abri-bivouac Franco Spàtaro;cabane non gardée;2600;45.8873;7.3934;;9;http://www.refuges.info/point/1565/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Abri-bivouac-Franco-Spataro/
4792;Baraque de Paille;cabane non gardée;1477;44.71147;5.75219;;6;http://www.refuges.info/point/4792/cabane-non-gardee/Devoluy-Trieves/Baraque-de-Paille/
510;Ferme de Fessole;cabane non gardée;1424;45.21567;5.52988;;0;http://www.refuges.info/point/510/cabane-non-gardee/Vercors/Ferme-de-Fessole/
41;Cabane des Tavernes;cabane non gardée;1343;45.34219;6.06892;;0;http://www.refuges.info/point/41/cabane-non-gardee/Belledonne/Cabane-des-Tavernes/
1742;Cabane du Pra de l'Aup;cabane non gardée;1515;44.7166;5.8614;;8;http://www.refuges.info/point/1742/cabane-non-gardee/Devoluy-Trieves/Cabane-du-Pra-de-l-Aup/
4157;Cabane de Moutet;cabane non gardée;1810;44.66713;6.03871;Fermée;0;http://www.refuges.info/point/4157/cabane-non-gardee/Devoluy-Trieves/Cabane-de-Moutet/
1894;Baraque forestiere des Ponche;cabane non gardée;1585;44.71008;5.78841;;6;http://www.refuges.info/point/1894/cabane-non-gardee/Devoluy-Trieves/Baraque-forestiere-des-Ponche/
43;Baraque Forestière d'Achieux;cabane non gardée;1310;45.1174;5.5022;Fermée;30;http://www.refuges.info/point/43/cabane-non-gardee/Vercors/Baraque-Forestiere-d-Achieux/
1892;Abri de Maroure;cabane non gardée;1496;44.72152;5.79423;;0;http://www.refuges.info/point/1892/cabane-non-gardee/Devoluy-Trieves/Abri-de-Maroure/
1893;Baraque forestiere des Allieres;cabane non gardée;1474;44.7192;5.79279;;0;http://www.refuges.info/point/1893/cabane-non-gardee/Devoluy-Trieves/Baraque-forestiere-des-Allieres/
